Open,Close,High,Low,Volume,Date
57613.17188,57197.47,57677.94141,56004.89063,,11/24/21
56307.78125,57636.05,57846.67969,55701.10938,,11/23/21
58857.03906,56402.99,59096.07813,55746.62891,,11/22/21
59807.87109,58783.08,59994.03906,58702.23828,,11/21/21
58177.94141,59781.95,59880.62109,57640.37891,,11/20/21
57019.85156,58158.85,58361.46875,55706.98047,,11/19/21
60335.35938,56898.73,60927.92969,56586.14063,,11/18/21
60176.23047,60372.56,60763.44922,58685.10156,,11/17/21
63481.55859,60231.35,63727.23047,59104.92188,,11/16/21
65680.90625,63741.09,66258.75,63485.07031,,11/15/21
64501.57031,65476.63,65479,63719.25,,11/14/21
64195.5,64481.33,64935.42969,63452.05859,,11/13/21
64850.67188,64326.95,65420.64844,62431.67188,,11/12/21
64868.39844,64880.54,65530.41016,64184.26172,,11/11/21
67002.52344,64911.37,68763.79688,63967.33984,,11/10/21
67507.28906,67011.66,68462.67188,66403.75,,11/09/21
63377.28906,67499.19,67676.0625,63212.08984,,11/08/21
61550.10156,63215.25,63268.58984,61459.07031,,11/07/21
61001.57031,61520.51,61583.85156,60220.87109,,11/06/21
61466.48828,61061.08,62539.23047,60830.51172,,11/05/21
62922.10938,61440.19,63085.82813,60830.69141,,11/04/21
63310.53906,62959.45,63466.69922,61722.69922,,11/03/21
60968.21094,63180.21,64221.5,60731.17188,,11/02/21
61362.46875,61083.88,62402.25,59795.73047,,11/01/21
61972.80078,61383.07,62391.76953,60116.17188,,10/31/21
62289.92188,61748.01,62333.85938,60971.30859,,10/30/21
60600.66016,62245.68,62931.19141,60383.53125,,10/29/21
58511.26953,60555.53,61988.78125,58273.89063,,10/28/21
60340.21875,58596.74,61457.26953,58317.73047,,10/27/21
63086.03906,60397.79,63248.48047,60012.17969,,10/26/21
60896.01953,62984.58,63684.58984,60699.32031,,10/25/21
61312.98047,60907.82,61476.37891,59659.73047,,10/24/21
60698.39063,61288.25,61716.64063,59952.78125,,10/23/21
62195.44922,60716.61,63676.5,60169.98828,,10/22/21
65989.92969,62250.93,66574.3125,62207.25,,10/21/21
64325.30859,65990.36,66894.00781,63575.39063,,10/20/21
62203.00781,64223.97,64431.96875,61725.05859,,10/19/21
56028.03906,57389.21,57674.23047,54364.67969,,10/13/21
57441.14063,56072.97,57617.46875,54657.35938,,10/12/21
54673.69141,57369.35,57752.58984,54572.69141,,10/11/21
54945.53906,54704.27,56296.05078,54248.71875,,10/10/21
53965.60156,54996.79,55363.37891,53754.98828,,10/09/21
53812.71094,53946.2,55893.14844,53686.53125,,10/08/21
55253.58984,53773.23,55402.89844,53566.39063,,10/07/21
51435.89063,55396.05,55528.87891,50469.94141,,10/06/21
49259.55078,51525.86,51767.67188,49089.78906,,10/05/21
48175.60938,49088.96,49448.60938,47039.05078,,10/04/21
47660.03125,48216.17,49109.25,47191.48047,,10/03/21
48123.08984,47721.56,48227.42969,47479.57813,,10/02/21
43828.44922,48098.48,48416.35156,43343.25,,10/01/21
41531.92188,43743.81,44071.60938,41456.53906,,09/30/21
41049.80859,41527.36,42544.76953,40890.19922,,09/29/21
42266.5,41060.9,42762.51172,40994.96875,,09/28/21
43144.05859,42293.6,44296.12109,42254.25,,09/27/21
42743.64063,43223.79,43877.23828,40983.42188,,09/26/21
42856.91016,42760.16,42960.07031,41739.35938,,09/25/21
44899.26953,42803.58,45083.10156,40977.64844,,09/24/21
43581.30078,44894.36,44933.85938,43185.37109,,09/23/21
40689.35938,43603.29,43963.41016,40547.44141,,09/22/21
42986.64063,40608.51,43581.5,39916.05859,,09/21/21
47287.71094,42928.22,47298.85938,42633.48828,,09/20/21
48292.01172,47254.7,48333.60938,46971.23828,,09/19/21
47327.23047,48262.14,48779.05078,47125.91016,,09/18/21
47792.28125,47247.64,48145.82031,46874.69141,,09/17/21
48126.67188,47804.98,48483.83984,47133.73047,,09/16/21
47111.69922,48145.62,48439.58984,46812.19922,,09/15/21
44966.94141,47029.75,47222.69922,44845.87891,,09/14/21
46053.66016,45005.03,46535.44922,43701.17188,,09/13/21
45180.08984,46112.79,46390.28906,44859.44922,,09/12/21
44901.28906,45146.78,46007.30859,44839.87891,,09/11/21
46436.98047,44884,47021.76172,44371.10156,,09/10/21
46078.07031,46401.69,47331.71094,45686.07031,,09/09/21
46926.01953,46066.22,47302.64063,44557.78125,,09/08/21
52692.10938,46800.13,52911.55078,45648.37109,,09/07/21
51772.33984,52687.98,52723.78906,51183.28125,,09/06/21
49954.21094,51750.58,51864.5,49550.71875,,09/05/21
49976.37891,49947.27,50547.17969,49568.17188,,09/04/21
49282.07031,50035.71,50968,48424.98828,,09/03/21
48877.05859,49352.11,50344.46094,48672.82813,,09/02/21
47116.69141,48810.43,48974.51172,46613.85156,,09/01/21
46963.03125,47215.31,48153.01953,46763.30859,,08/31/21
48787.62891,46976.74,48900.26953,46939.87109,,08/30/21
48933.39063,48863.61,49589.10156,48019.85156,,08/29/21
49080.12891,48895.01,49296.05078,48472.46094,,08/28/21
46883.69922,49039.03,49117,46505.26953,,08/27/21
49011.37109,46994.32,49343.80078,46513.23828,,08/26/21
47769.07813,48964.5,49194.80859,47156.75,,08/25/21
49495.78906,47803.92,49867.55078,47758.57813,,08/24/21
49310.39844,49539.87,50469.37891,49098.19141,,08/23/21
48928.05078,49331.17,49474.76172,48270.73828,,08/22/21
49309.87109,48983.88,49793.5,48484.69141,,08/21/21
46713.41016,49281.7,49292.33984,46659.44922,,08/20/21
44790.28906,46659.38,46904.98047,44065.05859,,08/19/21
44714.26953,44898.59,45956.05859,44443.03906,,08/18/21
45956.67969,44645.05,47134.71094,44577,,08/17/21
47070.64063,45989.68,47987.41016,45730.44141,,08/16/21
47118.57813,47087.85,47335.14063,45659.32031,,08/15/21
47766.19141,47096.72,48089.37891,46220.57813,,08/14/21
44446.03906,47774.98,47795.26953,44333.91016,,08/13/21
45572.28906,44463.84,46202.51172,43882.46094,,08/12/21
45594.05859,45699.25,46738.69922,45412.71094,,08/11/21
46245.28125,45601.14,46591.10156,44749.33984,,08/10/21
43880.05078,46282.29,46427.39063,42917.51172,,08/09/21
44491.64063,43804.84,45219.91016,43362.51172,,08/08/21
42819.92969,44617.57,44624.53906,42658.03125,,08/07/21
40872.26953,42825.68,43135.26953,39949.42969,,08/06/21
39746.03906,40870.97,41347.57813,37460.12109,,08/05/21
38199.98047,39782.14,39949.48828,37600.69922,,08/04/21
39164.19141,38153.28,39752.26953,37790.37891,,08/03/21
39889.92188,39218.24,40372.35938,38741.73047,,08/02/21
41543.01953,40097.11,42499.08984,39842.19141,,08/01/21
42220.08984,41738.4,42228.37109,41124.30078,,07/31/21
40043.73828,42066.04,42071.32813,38425.32813,,07/30/21
40000.12109,40045.83,40580.12891,39376.48047,,07/29/21
39383.71094,40014.52,40802.26172,38928.35156,,07/28/21
37273,39312.77,39320.37109,36477.64063,,07/27/21
35339.03906,37395.85,40367.78906,35272.98828,,07/26/21
